,From,To,Product_ID,Demand,trfQty
0,Surabaya-WH1,Surabaya-WH4,PROD1050,600,4
1,Surabaya-WH1,Surabaya-WH15,PROD1050,520,148
2,Jakarta-WH5,Jakarta-WH7,PROD1050,667,22
3,Bandung-WH6,Surabaya-WH4,PROD1050,600,56
4,Surabaya-WH8,Surabaya-WH4,PROD1050,600,41
5,Bandung-WH9,Jakarta-WH2,PROD1050,624,162
6,Bandung-WH9,Bandung-WH3,PROD1050,288,28
7,Bandung-WH9,Jakarta-WH7,PROD1050,667,233
8,Bali-WH11,Surabaya-WH10,PROD1050,390,133
9,Jakarta-WH12,Jakarta-WH7,PROD1050,667,57
10,Jakarta-WH13,Jakarta-WH2,PROD1050,624,461
11,Jakarta-WH14,Jakarta-WH7,PROD1050,667,112
12,Bandung-WH16,Surabaya-WH4,PROD1050,600,58
13,Bandung-WH16,Jakarta-WH7,PROD1050,667,153
14,Bali-WH17,Surabaya-WH10,PROD1050,390,58
15,Bali-WH18,Surabaya-WH4,PROD1050,600,42
16,Surabaya-WH20,Surabaya-WH10,PROD1050,390,24
17,Surabaya-WH20,Surabaya-WH19,PROD1050,720,322
18,Supplier,Surabaya-WH1,PROD1050,312,312
19,Supplier,Surabaya-WH4,PROD1050,600,284
20,Supplier,Jakarta-WH5,PROD1050,175,175
21,Supplier,Surabaya-WH8,PROD1050,156,156
22,Supplier,Bali-WH11,PROD1050,675,675
23,Supplier,Jakarta-WH13,PROD1050,576,576
24,Supplier,Jakarta-WH14,PROD1050,200,200
25,Supplier,Bandung-WH16,PROD1050,575,575
26,Supplier,Surabaya-WH20,PROD1050,450,450
27,Bandung-WH3,Jakarta-WH7,PROD1093,437,349
28,Surabaya-WH4,Surabaya-WH8,PROD1093,275,67
29,Bandung-WH6,Jakarta-WH13,PROD1093,700,57
30,Bandung-WH9,Jakarta-WH2,PROD1093,500,256
31,Bandung-WH9,Jakarta-WH5,PROD1093,528,178
32,Bandung-WH9,Jakarta-WH12,PROD1093,546,16
33,Surabaya-WH10,Surabaya-WH1,PROD1093,621,49
34,Bali-WH11,Surabaya-WH1,PROD1093,621,67
35,Bandung-WH16,Jakarta-WH7,PROD1093,437,37
36,Bandung-WH16,Jakarta-WH12,PROD1093,546,57
37,Bandung-WH16,Jakarta-WH13,PROD1093,700,371
38,Bandung-WH16,Jakarta-WH14,PROD1093,450,19
39,Bali-WH17,Surabaya-WH1,PROD1093,621,187
40,Bali-WH18,Surabaya-WH8,PROD1093,275,47
41,Bali-WH18,Surabaya-WH15,PROD1093,625,405
42,Surabaya-WH19,Surabaya-WH1,PROD1093,621,258
43,Surabaya-WH19,Surabaya-WH8,PROD1093,275,13
44,Surabaya-WH19,Jakarta-WH13,PROD1093,700,62
45,Surabaya-WH20,Surabaya-WH15,PROD1093,625,82
46,Supplier,Bandung-WH3,PROD1093,92,92
47,Supplier,Surabaya-WH4,PROD1093,130,39
48,Supplier,Bandung-WH9,PROD1093,506,506
49,Supplier,Bali-WH11,PROD1093,552,552
50,Supplier,Bandung-WH16,PROD1093,650,650
51,Supplier,Bali-WH17,PROD1093,546,546
52,Supplier,Surabaya-WH19,PROD1093,550,550
53,Supplier,Surabaya-WH20,PROD1093,330,330
54,Bandung-WH3,Bali-WH11,PROD1099,756,326
55,Surabaya-WH4,Surabaya-WH20,PROD1099,408,191
56,Jakarta-WH5,Jakarta-WH2,PROD1099,475,22
57,Bandung-WH6,Bali-WH18,PROD1099,432,85
58,Jakarta-WH7,Jakarta-WH2,PROD1099,475,77
59,Jakarta-WH7,Jakarta-WH13,PROD1099,528,160
60,Jakarta-WH7,Surabaya-WH19,PROD1099,725,201
61,Surabaya-WH8,Surabaya-WH19,PROD1099,725,346
62,Surabaya-WH8,Surabaya-WH20,PROD1099,408,90
63,Bandung-WH9,Bali-WH11,PROD1099,756,278
64,Bandung-WH9,Bali-WH18,PROD1099,432,183
65,Surabaya-WH10,Surabaya-WH1,PROD1099,550,246
66,Surabaya-WH10,Surabaya-WH20,PROD1099,408,37
67,Jakarta-WH14,Jakarta-WH2,PROD1099,475,26
68,Jakarta-WH14,Jakarta-WH12,PROD1099,414,14
69,Surabaya-WH15,Surabaya-WH1,PROD1099,550,252
70,Surabaya-WH15,Bali-WH11,PROD1099,756,55
71,Bandung-WH16,Bali-WH18,PROD1099,432,33
72,Bali-WH17,Bali-WH11,PROD1099,756,5
73,Supplier,Bandung-WH3,PROD1099,442,442
74,Supplier,Surabaya-WH4,PROD1099,696,696
75,Supplier,Jakarta-WH5,PROD1099,425,425
76,Supplier,Bandung-WH6,PROD1099,350,350
77,Supplier,Jakarta-WH7,PROD1099,92,92
78,Supplier,Surabaya-WH8,PROD1099,200,200
79,Supplier,Bandung-WH9,PROD1099,360,360
80,Supplier,Surabaya-WH10,PROD1099,69,69
81,Supplier,Bandung-WH16,PROD1099,200,200
82,Supplier,Bali-WH17,PROD1099,552,552
83,Supplier,Bali-WH18,PROD1099,432,11
84,Jakarta-WH2,Surabaya-WH10,PROD1113,725,63
85,Bandung-WH3,Bandung-WH6,PROD1113,100,99
86,Bandung-WH3,Bandung-WH9,PROD1113,750,3
